

-------THE SECURE LOOP FRAME OUTPUT-------

Requested Action	: Analyse Secure Loop Frames
Generated on	: Thu Apr 14 19:17:39 2011
Line Number	      : 1
Time Slot Number  : 31
Sub Channel Number: 0
Direction         : R1(Receieved)

-----------------------------------------------------------------------------------------------------------------------
Date Time		Line&TS	Message Name
-----------------------------------------------------------------------------------------------------------------------
16:13:31.23228600 L1R1TS31SC0 ECHO          MSG
16:13:31.40225200 L1R1TS31SC0 ECHO          MSG
16:13:31.57222000 L1R1TS31SC0 ECHO          MSG
16:13:31.74168800 L1R1TS31SC0 ECHO          MSG
16:13:31.91165500 L1R1TS31SC0 ECHO          MSG
16:13:32.08162300 L1R1TS31SC0 ECHO          MSG
16:13:32.25159100 L1R1TS31SC0 ECHO          MSG
16:13:32.42155900 L1R1TS31SC0 ECHO          MSG
16:13:32.59102500 L1R1TS31SC0 ECHO          MSG
16:13:32.76149300 L1R1TS31SC0 ECHO          MSG
16:13:32.93296100 L1R1TS31SC0 ECHO          MSG
16:13:33.11092700 L1R1TS31SC0 ECHO          MSG
16:13:33.28089400 L1R1TS31SC0 ECHO          MSG
16:13:33.45036200 L1R1TS31SC0 ECHO          MSG
16:13:33.62132900 L1R1TS31SC0 ECHO          MSG
16:13:33.79029700 L1R1TS31SC0 ECHO          MSG
16:13:33.96026500 L1R1TS31SC0 ECHO          MSG
16:13:34.13073300 L1R1TS31SC0 ECHO          MSG
16:13:34.29970100 L1R1TS31SC0 ECHO          MSG
16:13:34.46966700 L1R1TS31SC0 ECHO          MSG
16:13:34.63963500 L1R1TS31SC0 ECHO          MSG
16:13:34.80960300 L1R1TS31SC0 ECHO          MSG
16:13:34.97957000 L1R1TS31SC0 ECHO          MSG
16:13:35.14953800 L1R1TS31SC0 ECHO          MSG
16:13:35.31900600 L1R1TS31SC0 ECHO          MSG
16:13:35.48897400 L1R1TS31SC0 ECHO          MSG
16:13:35.65894000 L1R1TS31SC0 ECHO          MSG
16:13:35.82890800 L1R1TS31SC0 ECHO          MSG
16:13:35.99887600 L1R1TS31SC0 ECHO          MSG
16:13:36.16834300 L1R1TS31SC0 ECHO          MSG
16:13:36.33831100 L1R1TS31SC0 ECHO          MSG
16:13:36.50827900 L1R1TS31SC0 ECHO          MSG
16:13:36.67924500 L1R1TS31SC0 ECHO          MSG
16:13:36.84821300 L1R1TS31SC0 ECHO          MSG
16:13:37.01768100 L1R1TS31SC0 ECHO          MSG
16:13:37.19364700 L1R1TS31SC0 ECHO          MSG
